short id,full name,state,party,full name,party,state,distinct,canonical URL,url1,url2
burr,"Burr, Richard", North Carolina,,Richard Burr,R,NC,5,http://house.gov/burr/,gov.house.www/burr,
burton,"Burton, Dan", Indiana,,Dan Burton,R,IN,5,http://www.house.gov/burton/,gov.house.www/burton,
buyer,"Buyer, Steve", Indiana,,Steve Buyer,R,IN,4,http://house.gov/buyer/,gov.house.www/buyer,
calvert,"Calvert, Ken", California,,Ken Calvert,R,CA,44,http://house.gov/calvert/,gov.house.www/calvert,
camp,"Camp, Dave", Michigan,,Dave Camp,R,MI,4,http://wwwc.house.gov/camp/,gov.house.wwwc/camp,gov.house.wwwb/camp
cannon,"Cannon, Chris", Utah,,Chris Cannon,R,UT,3,http://house.gov/cannon/,gov.house.www/cannon,gov.house.chriscannon
cantor,"Cantor, Eric", Virginia,,Eric Cantor,R,VA,7,http://cantor.house.gov/,gov.house.www/cantor,gov.house.cantor
capito,"Capito, Shelley Moore", West Virginia,,Shelley Moore Capito,R,WV,2,http://house.gov/capito/,gov.house.www/capito,
capps,"Capps, Lois", California,,Lois Capps,D,CA,23,http://house.gov/capps/,gov.house.www/capps,
capuano,"Capuano, Michael E.", Massachusetts,,Mike Capuano,D,MA,8,http://house.gov/capuano/,gov.house.www/capuano,
cardin,"Cardin, Ben", Maryland,,Ben Cardin,D,MD,3,http://house.gov/cardin/,gov.house.www/cardin,
cardoza,"Cardoza, Dennis A.", California,,Dennis Cardoza,D,CA,18,http://www.house.gov/cardoza/,gov.house.www/cardoza,
bradcarson,"Carson, Brad", Oklahoma,,Brad Carson,D,OK,2,http://house.gov/bradcarson/,gov.house.www/bradcarson,
juliacarson,"Carson, Julia", Indiana,,Julia Carson,D,IN,7,http://www.juliacarson.house.gov/,gov.house.juliacarson.www/images,gov.house.juliacarson
carter,"Carter, John R.", Texas,,John Carter,R,TX,31,http://www.house.gov/carter/,gov.house.www/carter,
case,"Case, Ed", Hawaii,,Ed Case,D,HI,2,http://wwwc.house.gov/case/,gov.house.wwwc/case,
castle,"Castle, Michael N.", Delaware,,Michael N. Castle,R,"DE
",,http://house.gov/castle/,gov.house.www/castle,
chabot,"Chabot, Steve", Ohio,,Steve Chabot,R,OH,1,http://house.gov/chabot/,,
chocola,"Chocola, Chris", Indiana,,Chris Chocola,R,IN,2,http://www.house.gov/chocola/,gov.house.www/chocola,
christian-christensen,"Christian-Christensen, Donna"," U.S. Virgin Islands
",,,,,,http://house.gov/christian-christensen/,gov.house.www/christian-christensen,
clay,"Clay, Wm. Lacy", Missouri,,William Lacy Clay,D,MO,1,http://house.gov/clay/,gov.house.www/clay,
clyburn,"Clyburn, James E.", South Carolina,,James Clyburn,D,SC,6,http://house.gov/clyburn/,gov.house.www/clyburn,
coble,"Coble, Howard", North Carolina,,Howard Coble,R,NC,6,http://house.gov/coble/,gov.house.www/coble,
cole,"Cole, Tom", Oklahoma,,Tom Cole,R,OK,4,http://www.house.gov/cole/,gov.house.www/cole,
maccollins,"Collins, Mac", Georgia,,Mac Collins,R,GA,8,http://www.house.gov/maccollins/,,
conyers,"Conyers, John", Michigan,,John Conyers,D,MI,14,http://house.gov/conyers/,gov.house.www/conyers,
costello,"Costello, Jerry F.", Illinois,,Jerry Costello,D,IL,12,http://house.gov/costello/,gov.house.www/costello,
cox,"Cox, Christopher", California,,Christopher Cox,R,CA,48,http://cox.house.gov/,gov.house.cox,
cramer,"Cramer, Bud", Alabama,,Bud Cramer,D,AL,5,http://house.gov/cramer/,gov.house.cramer,
crane,"Crane, Phil", Illinois,,Phil Crane,R,IL,8,http://house.gov/crane/,gov.house.www/crane,
crenshaw,"Crenshaw, Ander", Florida,,Ander Crenshaw,R,FL,4,http://crenshaw.house.gov/,,
crowley,"Crowley, Joseph", New York,,Joe Crowley,D,NY,7,http://crowley.house.gov/,gov.house.www/crowley,
cubin,"Cubin, Barbara", Wyoming,,Barbara Cubin,R,"WY
",,http://house.gov/cubin/,gov.house.www/cubin,
culberson,"Culberson, John", Texas,,John Culberson,R,TX,7,http://www.culberson.house.gov/,gov.house.www/culberson,gov.house.culberson
cummings,"Cummings, Elijah E.", Maryland,,Elijah Cummings,D,MD,7,http://house.gov/cummings/,gov.house.www/cummings,
cunningham,"Cunningham, Randy ""Duke""", California,,Duke Cunningham,R,CA,50,http://www.house.gov/cunningham/,gov.house.www/cunningham,
arturdavis,"Davis, Artur", Alabama,,Artur Davis,D,AL,7,http://www.house.gov/arturdavis/,,
davis,"Davis, Danny K.", Illinois,,Danny Davis,D,IL,7,http://house.gov/davis/,gov.house.www/davis,
jimdavis,"Davis, Jim", Florida,,Jim Davis,D,FL,11,http://house.gov/jimdavis/,,
joanndavis,"Davis, Jo Ann", Virginia,,Jo Ann Davis,R,VA,1,http://house.gov/joanndavis/,,
lincolndavis,"Davis, Lincoln", Tennessee,,Lincoln Davis,D,TN,4,http://www.house.gov/lincolndavis/,,
susandavis,"Davis, Susan A.", California,,Susan Davis,D,CA,53,http://house.gov/susandavis/,,
tomdavis,"Davis, Tom", Virginia,,Thomas M. Davis,R,VA,11,http://house.gov/tomdavis/,,
deal,"Deal, Nathan", Georgia,,Nathan Deal,R,GA,10,http://www.house.gov/deal/,gov.house.www/deal,
defazio,"DeFazio, Peter", Oregon,,Peter DeFazio,D,OR,4,http://house.gov/defazio/index.htm,gov.house.www/defazio,gov.house.defazio
degette,"DeGette, Diana", Colorado,,Diana DeGette,D,CO,1,http://house.gov/degette/,gov.house.www/degette,
delahunt,"Delahunt, Bill", Massachusetts,,Bill Delahunt,D,MA,10,http://house.gov/delahunt/,gov.house.www/delahunt,
delauro,"DeLauro, Rosa L.", Connecticut,,Rosa DeLauro,D,CT,3,http://www.house.gov/delauro/,gov.house.www/delauro,
tomdelay,"DeLay, Tom", Texas,,Tom DeLay,R,TX,22,http://tomdelay.house.gov/,gov.house.tomdelay,
demint,"DeMint, Jim", South Carolina,,Jim DeMint,R,SC,4,http://demint.house.gov/,gov.house.demint,
deutsch,"Deutsch, Peter", Florida,,Peter Deutsch,D,FL,20,http://house.gov/deutsch/,gov.house.www/deutsch,
diaz-balart,"Diaz-Balart, Lincoln", Florida,,Lincoln Diaz-Balart,R,FL,21,http://house.gov/diaz-balart/,gov.house.www/diaz-balart,
mariodiaz-balart,"Diaz-Balart, Mario", Florida,,Mario Diaz-Balart,R,FL,25,http://www.house.gov/mariodiaz-balart/,,
dicks,"Dicks, Norm", Washington,,Norm Dicks,D,WA,6,http://house.gov/dicks/,gov.house.www/dicks,
dingell,"Dingell, John D.", Michigan,,John Dingell,D,MI,15,http://house.gov/dingell/,gov.house.www/dingell,
doggett,"Doggett, Lloyd", Texas,,Lloyd Doggett,D,TX,10,http://house.gov/doggett/,gov.house.www/doggett,
dooley,"Dooley, Cal", California,,Cal Dooley,D,CA,20,http://dooley.house.gov/,gov.house.dooley,
doolittle,"Doolittle, John T.", California,,John T. Doolittle,R,CA,4,http://house.gov/doolittle/,gov.house.www/doolittle,
doyle,"Doyle, Mike", Pennsylvania,,Mike Doyle,D,PA,14,http://house.gov/doyle/,gov.house.www/doyle,
dreier,"Dreier, David", California,,David Dreier,R,CA,26,http://dreier.house.gov/,gov.house.dreier,
duncan,"Duncan, John J.", Tennessee,,John Duncan,R,TN,2,http://house.gov/duncan/,gov.house.www/duncan,
dunn,"Dunn, Jennifer", Washington,,Jennifer Dunn,R,WA,8,http://house.gov/dunn/,gov.house.www/dunn,
edwardschet,"Edwards, Chet", Texas,,Chet Edwards,D,TX,11,http://house.gov/edwards/,,
ehlers,"Ehlers, Vernon J.", Michigan,,Vernon Ehlers,R,MI,3,http://house.gov/ehlers/,gov.house.www/ehlers,
emanue,"Emanuel, Rahm", Illinois,,Rahm Emanuel,D,IL,5,http://www.house.gov/emanuel,gov.house.www/emanuel,
emerson,"Emerson, Jo Ann", Missouri,,Jo Ann Emerson,R,MO,8,http://house.gov/emerson/,gov.house.www/emerson,
engel,"Engel, Eliot L.", New York,,Eliot Engel,D,NY,17,http://house.gov/engel/,gov.house.www/engel,
english,"English, Phil", Pennsylvania,,Phil English,R,PA,3,http://www.house.gov/english/,gov.house.www/english,
www-eshoo,"Eshoo, Anna", California,,Anna Eshoo,D,CA,14,http://www-eshoo.house.gov/,gov.house.www-eshoo,
etheridge,"Etheridge, Bob", North Carolina,,Bob Etheridge,D,NC,2,http://house.gov/etheridge/,gov.house.www/etheridge,
evans,"Evans, Lane", Illinois,,Lane Evans,D,IL,17,http://house.gov/evans/,gov.house.www/evans,
everett,"Everett, Terry", Alabama,,Terry Everett,R,AL,2,http://wwwc.house.gov/everett/,gov.house.wwwc/everett,gov.house.www/everett
faleomavaega,"Faleomavaega, Eni F. H."," American Samoa
",,,,,,http://house.gov/faleomavaega/,gov.house.www/faleomavaega,
farr,"Farr, Sam", California,,Sam Farr,D,CA,17,http://house.gov/farr/,gov.house.www/farr,
fattah,"Fattah, Chaka", Pennsylvania,,Chaka Fattah,D,PA,2,http://house.gov/fattah/,gov.house.www/fattah,
feeney,"Feeney, Tom", Florida,,Tom Feeney,R,FL,24,http://www.house.gov/feeney/,,
ferguson,"Ferguson, Mike", New Jersey,,Mike Ferguson,R,NJ,7,http://house.gov/ferguson/,gov.house.www/ferguson,
filner,"Filner, Bob", California,,Bob Filner,D,CA,51,http://www.house.gov/filner/,gov.house.www/filner,
flake,"Flake, Jeff", Arizona,,Jeff Flake,R,AZ,6,http://www.house.gov/flake/,gov.house.www/flake,
fletcher,"Fletcher, Ernie", Kentucky,,Ernie Fletcher,R,KY,6,http://house.gov/fletcher/,gov.house.www/fletcher,
foley,"Foley, Mark A.", Florida,,Mark Foley,R,FL,16,http://house.gov/foley/,gov.house.www/foley,
forbes,"Forbes, J. Randy", Virginia,,Randy Forbes,R,VA,4,http://house.gov/forbes/,gov.house.www/forbes,
ford,"Ford, Harold", Tennessee,,Harold Ford, Jr.,D,,http://house.gov/ford/,gov.house.www/ford,
fossella,"Fossella, Vito J.", New York,,Vito Fossella,R,NY,13,http://house.gov/fossella/,gov.house.www/fossella,
frank,"Frank, Barney", Massachusetts,,Barney Frank,D,MA,4,http://house.gov/frank/,gov.house.www/frank,
franks,"Franks, Trent", Arizona,,Trent Franks,R,AZ,2,http://www.house.gov/franks/,,
frelinghuysen,"Frelinghuysen, Rodney", New Jersey,,Rodney Frelinghuysen,R,NJ,11,http://house.gov/frelinghuysen/,gov.house.www/frelinghuysen,
frost,"Frost, Martin", Texas,,Martin Frost,D,TX,24,http://house.gov/frost/,gov.house.www/frost,
gallegly,"Gallegly, Elton", California,,Elton Gallegly,R,CA,24,http://house.gov/gallegly/,gov.house.www/gallegly,
garrett,"Garrett, Scott", New Jersey,,Scott Garrett,R,NJ,5,http://www.house.gov/garrett/,gov.house.www/garrett,
dickgephardt,"Gephardt, Richard", Missouri,,Dick Gephardt,D,MO,3,http://dickgephardt.house.gov/,gov.house.dickgephardt,
gerlach,"Gerlach, Jim", Pennsylvania,,Jim Gerlach,R,PA,6,http://www.house.gov/gerlach/,gov.house.www/gerlach,
gibbons,"Gibbons, Jim", Nevada,,Jim Gibbons,R,NV,2,http://house.gov/gibbons/,gov.house.wwwc/gibbons,gov.house.www/gibbons
gilchrest,"Gilchrest, Wayne", Maryland,,Wayne Gilchrest,R,MD,1,http://gilchrest.house.gov/,gov.house.gilchrest,
gillmor,"Gillmor, Paul", Ohio,,Paul Gillmor,R,OH,5,http://house.gov/gillmor/,gov.house.www/gillmor,gov.house.gillmor
gingrey,"Gingrey, Phil", Georgia,,Phil Gingrey,R,GA,11,http://www.house.gov/gingrey/,gov.house.www/gingrey,
gonzalez,"Gonzalez, Charlie A.", Texas,,Charlie Gonzalez,D,TX,20,http://house.gov/gonzalez/,gov.house.www/gonzalez,
goode,"Goode, Virgil H.", Virginia,,Virgil Goode,R,VA,5,http://house.gov/goode/,gov.house.www/goode,
goodlatte,"Goodlatte, Bob", Virginia,,Bob Goodlatte,R,VA,6,http://house.gov/goodlatte/,gov.house.www/goodlatte,
gordon,"Gordon, Bart", Tennessee,,Bart Gordon,D,TN,6,http://house.gov/gordon/,gov.house.gordon,gov.house.www/gordon
goss,"Goss, Porter", Florida,,Porter Goss,R,FL,14,http://house.gov/goss/,gov.house.portergoss,gov.house.portergoss
kaygranger,"Granger, Kay", Texas,,Kay Granger,R,TX,12,http://kaygranger.house.gov/,gov.house.kaygranger,
graves,"Graves, Sam", Missouri,,Sam Graves,R,MO,6,http://house.gov/graves/,gov.house.www/graves,
