short id,full name,state,party,canonical URL,url1,url2,
johnson,"Johnson, Tim",South Dakota,D,http://johnson.senate.gov/,,,
kennedy,"Kennedy, Edward",Massachusetts,D,http://kennedy.senate.gov/,gov.senate.kennedy,gov.senate.www/~kennedy,
kerry,"Kerry, John",Massachusetts,D,http://kerry.senate.gov/,gov.senate.kerry,gov.senate.www/~kerry,
kohl,"Kohl, Herb",Wisconsin,D,http://kohl.senate.gov/,gov.senate.www/~kohl,gov.senate.kohl,
kyl,"Kyl, Jon",Arizona,R,http://kyl.senate.gov/,gov.senate.www/~kyl,gov.senate.kyl,
landrieu,"Landrieu, Mary L.",Louisiana,D,http://landrieu.senate.gov/,gov.senate.landrieu,gov.senate.www/~landrieu,
lautenberg,"Lautenberg, Frank","Leahy, Patrick",D,http://lautenberg.senate.gov/,gov.senate.lautenberg,gov.senate.www/~lautenberg,
leahy,"Leahy, Patrick",Vermont,D,http://leahy.senate.gov/,gov.senate.www/~leahy,gov.senate.leahy,
levin,"Levin, Carl",Michigan,D,http://levin.senate.gov/,gov.senate.www/~levin,gov.house.www/levin,
levin,"Levin, Sander M.",Michigan,D,http://house.gov/levin/,gov.senate.www/~levin,gov.house.www/levin,
lieberman,"Lieberman, Joe",Connecticut,D,http://lieberman.senate.gov/,,,
lincoln,"Lincoln, Blanche",Arkansas,D,http://lincoln.senate.gov/,gov.senate.www/~lincoln,gov.senate.lincoln,
lott,"Lott, Trent",Mississippi,R,http://lott.senate.gov/,gov.senate.lott,,
lugar,"Lugar, Richard G.",Indiana,R,http://lugar.senate.gov/,gov.senate.www/~lugar,gov.senate.lugar,
mccain,"McCain, John",Arizona,R,http://mccain.senate.gov/,gov.senate.www/~mccain,gov.senate.mccain,
mcconnell,"McConnell, Mitch",Kentucky,R,http://mcconnell.senate.gov/,gov.senate.www/~mcconnell,gov.senate.mcconnell,
mikulski,"Mikulski, Barbara A.",Maryland,D,http://mikulski.senate.gov/,gov.senate.www/~mikulski,gov.senate.mikulski,
miller,"Miller, Zell",Geogria,D,http://miller.senate.gov/,gov.senate.www/~miller,gov.senate.miller,
murkowski,"Murkowski, Lisa",Alaska,R,http://murkowski.senate.gov/,gov.senate.murkowski,gov.senate.www/~murkowski,
murray,"Murray, Patty",Washington,D,http://murray.senate.gov/,gov.senate.www/~murray,gov.senate.murray,
bennelson,"Nelson, Ben",Nebraska,D,http://bennelson.senate.gov/,gov.senate.www/~bennelson,gov.senate.bennelson,
billnelson,"Nelson, Bill",Florida,D,http://billnelson.senate.gov/,gov.senate.billnelson,gov.senate.www/~billnelson,
nickles,"Nickles, Don",Oklahoma,R,http://nickles.senate.gov/,gov.senate.www/~nickles,gov.senate.nickles,
pryor,"Pryor, Mark",Arkansas,D,http://pryor.senate.gov,gov.senate.www/~pryor,gov.senate.pryor,
reid,"Reid, Harry",Nevada,D,http://reid.senate.gov/,gov.senate.www/~reid,gov.senate.reid,
roberts,"Roberts, Pat",Kansas,R,http://roberts.senate.gov/,gov.senate.www/~roberts,gov.senate.roberts,
rockefeller,"Rockefeller, Jay",West Virginia,D,http://rockefeller.senate.gov/,gov.senate.rockefeller,gov.senate.www/~rockefeller,
santorum,"Santorum, Rick",Pennsylvania,R,http://santorum.senate.gov/,gov.senate.santorum,,
sarbanes,"Sarbanes, Paul S.","Schumer, Charles E.",D,http://sarbanes.senate.gov/,gov.senate.www/~sarbanes,gov.senate.sarbanes,
schumer,"Schumer, Charles E.",New York,D,http://schumer.senate.gov/,gov.senate.www/~schumer,gov.senate.schumer,
sessionsjeff,"Sessions, Jeff",Alabama,R,http://sessions.senate.gov/,gov.senate.sessions,,
shelby,"Shelby, Richard C.",Alabama,R,http://shelby.senate.gov/,gov.senate.www/~shelby,gov.senate.shelby,
gsmith,"Smith, Gordon H.",Alabama,R,http://gsmith.senate.gov/,gov.senate.www/~gsmith,gov.senate.gsmith,
snowe,"Snowe, Olympia J.",Maine,R,http://snowe.senate.gov/,gov.senate.www/~snowe,gov.senate.snowe,
specter,"Specter, Arlen",Pennsylvania,D,http://www.senate.gov/~specter/,gov.senate.www/~specter,gov.senate.specter,
stabenow,"Stabenow, Debbie",Michigan,D,http://stabenow.senate.gov/,gov.senate.stabenow,,
stevens,"Stevens, Ted",Alaska,R,http://stevens.senate.gov/,gov.senate.www/~stevens,gov.senate.stevens,
talent,"Talent, James",Missouri,R,http://talent.senate.gov/,gov.senate.talent,,
thomas,"Thomas, Craig",Wyoming,R,http://thomas.senate.gov/,gov.senate.www/~thomas,gov.senate.thomas,
voinovich,"Voinovich, George V.",Ohio,R,http://voinovich.senate.gov/,gov.senate.www/~voinovich,gov.senate.voinovich,
warner,"Warner, John",Virginia,R,http://warner.senate.gov/,gov.senate.www/~warner,gov.senate.warner,
wyden,"Wyden, Ron",Oregon,D,http://wyden.senate.gov/,gov.senate.wyden,gov.senate.www/~wyden,
